,Word,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal
43,ABBOTS,0,0,0,0,0,0,0,0
44,ABBREVIATE,0,0,0,0,0,0,0,0
45,ABBREVIATED,0,0,0,0,0,0,0,0
46,ABBREVIATES,0,0,0,0,0,0,0,0
47,ABBREVIATING,0,0,0,0,0,0,0,0
48,ABBREVIATION,0,0,0,0,0,0,0,0
49,ABBREVIATIONS,0,0,0,0,0,0,0,0
50,ABDICATE,0,0,0,0,0,0,0,0
51,ABDICATED,1,0,0,0,0,0,0,0
52,ABDICATES,1,0,0,0,0,0,0,0
53,ABDICATING,1,0,0,0,0,0,0,0
54,ABDICATION,1,0,0,0,0,0,0,0
55,ABDICATIONS,1,0,0,0,0,0,0,0
56,ABDOMEN,0,0,0,0,0,0,0,0
57,ABDOMENS,0,0,0,0,0,0,0,0
58,ABDOMINAL,0,0,0,0,0,0,0,0
59,ABDOMINALS,0,0,0,0,0,0,0,0
60,ABDUCT,0,0,0,0,0,0,0,0
61,ABDUCTED,0,0,0,0,0,0,0,0
62,ABDUCTING,0,0,0,0,0,0,0,0
63,ABDUCTION,0,0,0,0,0,0,0,0
64,ABDUCTIONS,0,0,0,0,0,0,0,0
65,ABDUCTOR,0,0,0,0,0,0,0,0
66,ABDUCTORS,0,0,0,0,0,0,0,0
67,ABDUCTS,0,0,0,0,0,0,0,0
68,ABEAM,0,0,0,0,0,0,0,0
69,ABED,0,0,0,0,0,0,0,0
70,ABERRANT,1,0,0,0,0,0,0,0
71,ABERRATION,1,0,0,0,0,0,0,0
72,ABERRATIONAL,1,0,0,0,0,0,0,0
73,ABERRATIONS,1,0,0,0,0,0,0,0
74,ABET,0,0,0,0,0,0,0,0
75,ABETS,0,0,0,0,0,0,0,0
76,ABETTED,0,0,0,0,0,0,0,0
77,ABETTER,0,0,0,0,0,0,0,0
78,ABETTERS,0,0,0,0,0,0,0,0
79,ABETTING,1,0,0,0,0,0,0,0
80,ABETTOR,0,0,0,0,0,0,0,0
81,ABETTORS,0,0,0,0,0,0,0,0
82,ABEYANCE,0,0,1,0,0,0,0,0
83,ABEYANCES,0,0,1,0,0,0,0,0
84,ABHOR,0,0,0,0,0,0,0,0
85,ABHORRED,0,0,0,0,0,0,0,0
86,ABHORRENCE,0,0,0,0,0,0,0,0
87,ABHORRENCES,0,0,0,0,0,0,0,0
88,ABHORRENT,0,0,0,0,0,0,0,0
89,ABHORRENTLY,0,0,0,0,0,0,0,0
90,ABHORRING,0,0,0,0,0,0,0,0
91,ABHORS,0,0,0,0,0,0,0,0
92,ABIDANCE,0,0,0,0,0,0,0,0
93,ABIDANCES,0,0,0,0,0,0,0,0
94,ABIDE,0,0,0,0,1,0,0,0
95,ABIDED,0,0,0,0,0,0,0,0
96,ABIDES,0,0,0,0,0,0,0,0
97,ABIDING,0,0,0,0,1,0,0,0
98,ABIDINGLY,0,0,0,0,0,0,0,0
99,ABILITIES,0,0,0,0,0,0,0,0
100,ABILITY,0,0,0,0,0,0,0,0
101,ABJECT,0,0,0,0,0,0,0,0
102,ABJECTION,0,0,0,0,0,0,0,0
103,ABJECTIONS,0,0,0,0,0,0,0,0
104,ABJECTLY,0,0,0,0,0,0,0,0
105,ABJECTNESS,0,0,0,0,0,0,0,0
106,ABJECTNESSES,0,0,0,0,0,0,0,0
107,ABJURATION,0,0,0,0,0,0,0,0
108,ABJURATIONS,0,0,0,0,0,0,0,0
109,ABJURATORY,0,0,0,0,0,0,0,0
110,ABJURE,0,0,0,0,0,0,0,0
111,ABJURED,0,0,0,0,0,0,0,0
112,ABJURER,0,0,0,0,0,0,0,0
113,ABJURERS,0,0,0,0,0,0,0,0
114,ABJURES,0,0,0,0,0,0,0,0
115,ABJURING,0,0,0,0,0,0,0,0
116,ABLATE,0,0,0,0,0,0,0,0
117,ABLATED,0,0,0,0,0,0,0,0
118,ABLATES,0,0,0,0,0,0,0,0
119,ABLATING,0,0,0,0,0,0,0,0
120,ABLATION,0,0,0,0,0,0,0,0
121,ABLATIONS,0,0,0,0,0,0,0,0
122,ABLATIVE,0,0,0,0,0,0,0,0
123,ABLATIVES,0,0,0,0,0,0,0,0
124,ABLAZE,0,0,0,0,0,0,0,0
125,ABLE,0,1,0,0,0,0,0,0
126,ABLER,0,0,0,0,0,0,0,0
127,ABLEST,0,0,0,0,0,0,0,0
128,ABLOOM,0,0,0,0,0,0,0,0
129,ABLUTION,0,0,0,0,0,0,0,0
130,ABLUTIONS,0,0,0,0,0,0,0,0
131,ABLY,0,0,0,0,0,0,0,0
132,ABNEGATE,0,0,0,0,0,0,0,0
133,ABNEGATED,0,0,0,0,0,0,0,0
134,ABNEGATES,0,0,0,0,0,0,0,0
135,ABNEGATING,0,0,0,0,0,0,0,0
136,ABNEGATION,0,0,0,0,0,0,0,0
137,ABNEGATIONS,0,0,0,0,0,0,0,0
138,ABNORMAL,1,0,0,0,0,0,0,0
139,ABNORMALITIES,1,0,0,0,0,0,0,0
140,ABNORMALITY,1,0,0,0,0,0,0,0
141,ABNORMALLY,1,0,0,0,0,0,0,0
142,ABOARD,0,0,0,0,0,0,0,0
143,ABODE,0,0,0,0,0,0,0,0
144,ABODES,0,0,0,0,0,0,0,0
145,ABOLISH,1,0,0,0,0,0,0,0
146,ABOLISHED,1,0,0,0,0,0,0,0
147,ABOLISHES,1,0,0,0,0,0,0,0
148,ABOLISHING,1,0,0,0,0,0,0,0
149,ABOLISHMENT,0,0,0,0,0,0,0,0
150,ABOLITION,0,0,0,0,0,0,0,0
151,ABOLITIONISM,0,0,0,0,0,0,0,0
152,ABOLITIONISMS,0,0,0,0,0,0,0,0
153,ABOLITIONIST,0,0,0,0,0,0,0,0
154,ABOLITIONISTS,0,0,0,0,0,0,0,0
155,ABOLITIONS,0,0,0,0,0,0,0,0
156,ABOMINABLE,0,0,0,0,0,0,0,0
157,ABOMINABLY,0,0,0,0,0,0,0,0
158,ABOMINATE,0,0,0,0,0,0,0,0
159,ABOMINATED,0,0,0,0,0,0,0,0
160,ABOMINATES,0,0,0,0,0,0,0,0
161,ABOMINATING,0,0,0,0,0,0,0,0
162,ABOMINATION,0,0,0,0,0,0,0,0
163,ABOMINATIONS,0,0,0,0,0,0,0,0
164,ABORIGINAL,0,0,0,0,0,0,0,0
165,ABORIGINALS,0,0,0,0,0,0,0,0
166,ABORIGINE,0,0,0,0,0,0,0,0
167,ABORIGINES,0,0,0,0,0,0,0,0
168,ABORNING,0,0,0,0,0,0,0,0
169,ABORT,0,0,0,0,0,0,0,0
170,ABORTED,0,0,0,0,0,0,0,0
171,ABORTING,0,0,0,0,0,0,0,0
172,ABORTION,0,0,0,0,0,0,0,0
173,ABORTIONIST,0,0,0,0,0,0,0,0
174,ABORTIONISTS,0,0,0,0,0,0,0,0
175,ABORTIONS,0,0,0,0,0,0,0,0
176,ABORTIVE,0,0,0,0,0,0,0,0
177,ABORTIVELY,0,0,0,0,0,0,0,0
178,ABORTS,0,0,0,0,0,0,0,0
179,ABOUND,0,0,0,0,0,0,0,0
180,ABOUNDED,0,0,0,0,0,0,0,0
181,ABOUNDING,0,0,0,0,0,0,0,0
182,ABOUNDS,0,0,0,0,0,0,0,0
183,ABOUT,0,0,0,0,0,0,0,0
184,ABOVE,0,0,0,0,0,0,0,0
185,ABOVEBOARD,0,0,0,0,0,0,0,0
186,ABOVEGROUND,0,0,0,0,0,0,0,0
187,ABOVEMENTIONED,0,0,0,1,0,0,0,0
188,ABOVES,0,0,0,0,0,0,0,0
189,ABRACADABRA,0,0,0,0,0,0,0,0
190,ABRACADABRAS,0,0,0,0,0,0,0,0
191,ABRADE,0,0,0,0,0,0,0,0
192,ABRADED,0,0,0,0,0,0,0,0
193,ABRADES,0,0,0,0,0,0,0,0
194,ABRADING,0,0,0,0,0,0,0,0
195,ABRASION,0,0,0,0,0,0,0,0
196,ABRASIONS,0,0,0,0,0,0,0,0
197,ABRASIVE,0,0,0,0,0,0,0,0
198,ABRASIVELY,0,0,0,0,0,0,0,0
199,ABRASIVENESS,0,0,0,0,0,0,0,0
200,ABRASIVENESSES,0,0,0,0,0,0,0,0
201,ABRASIVES,0,0,0,0,0,0,0,0
202,ABREAST,0,0,0,0,0,0,0,0
203,ABRIDGE,0,0,0,0,0,0,0,0
204,ABRIDGED,0,0,0,0,0,0,0,0
205,ABRIDGEMENT,0,0,0,0,0,0,0,0
206,ABRIDGEMENTS,0,0,0,0,0,0,0,0
207,ABRIDGES,0,0,0,0,0,0,0,0
208,ABRIDGING,0,0,0,0,0,0,0,0
209,ABRIDGMENT,0,0,0,0,0,0,0,0
210,ABRIDGMENTS,0,0,0,0,0,0,0,0
211,ABROAD,0,0,0,0,0,0,0,0
212,ABROGATE,1,0,0,1,0,0,0,0
213,ABROGATED,1,0,0,1,0,0,0,0
214,ABROGATES,1,0,0,1,0,0,0,0
215,ABROGATING,1,0,0,1,0,0,0,0
216,ABROGATION,1,0,0,1,0,0,0,0
217,ABROGATIONS,1,0,0,1,0,0,0,0
218,ABROGATOR,0,0,0,0,0,0,0,0
219,ABROGATORS,0,0,0,0,0,0,0,0
220,ABRUPT,1,0,0,0,0,0,0,0
221,ABRUPTER,0,0,0,0,0,0,0,0
222,ABRUPTEST,0,0,0,0,0,0,0,0
223,ABRUPTLY,1,0,0,0,0,0,0,0
224,ABRUPTNESS,1,0,0,0,0,0,0,0
225,ABRUPTNESSES,0,0,0,0,0,0,0,0
226,ABS,0,0,0,0,0,0,0,0
227,ABSCESS,0,0,0,0,0,0,0,0
228,ABSCESSED,0,0,0,0,0,0,0,0
229,ABSCESSES,0,0,0,0,0,0,0,0
230,ABSCESSING,0,0,0,0,0,0,0,0
231,ABSCISSA,0,0,0,0,0,0,0,0
232,ABSCISSAE,0,0,0,0,0,0,0,0
233,ABSCISSAS,0,0,0,0,0,0,0,0
234,ABSCISSION,0,0,0,0,0,0,0,0
235,ABSCISSIONS,0,0,0,0,0,0,0,0
236,ABSCOND,0,0,0,0,0,0,0,0
237,ABSCONDED,0,0,0,0,0,0,0,0
238,ABSCONDER,0,0,0,0,0,0,0,0
239,ABSCONDERS,0,0,0,0,0,0,0,0
240,ABSCONDING,0,0,0,0,0,0,0,0
241,ABSCONDS,0,0,0,0,0,0,0,0
242,ABSEIL,0,0,0,0,0,0,0,0
243,ABSEILED,0,0,0,0,0,0,0,0
244,ABSEILING,0,0,0,0,0,0,0,0
245,ABSEILS,0,0,0,0,0,0,0,0
246,ABSENCE,1,0,0,0,0,0,0,0
247,ABSENCES,1,0,0,0,0,0,0,0
248,ABSENT,0,0,0,0,0,0,0,0
249,ABSENTED,0,0,0,0,0,0,0,0
250,ABSENTEE,0,0,0,0,0,0,0,0
251,ABSENTEEISM,1,0,0,0,0,0,0,0
252,ABSENTEEISMS,0,0,0,0,0,0,0,0
253,ABSENTEES,0,0,0,0,0,0,0,0
254,ABSENTING,0,0,0,0,0,0,0,0
255,ABSENTLY,0,0,0,0,0,0,0,0
256,ABSENTMINDED,0,0,0,0,0,0,0,0
257,ABSENTMINDEDLY,0,0,0,0,0,0,0,0
258,ABSENTMINDEDNESS,0,0,0,0,0,0,0,0
259,ABSENTMINDEDNESSES,0,0,0,0,0,0,0,0
260,ABSENTS,0,0,0,0,0,0,0,0
261,ABSINTH,0,0,0,0,0,0,0,0
262,ABSINTHE,0,0,0,0,0,0,0,0
263,ABSINTHES,0,0,0,0,0,0,0,0
264,ABSINTHS,0,0,0,0,0,0,0,0
265,ABSOLUTE,0,0,0,0,0,0,0,0
266,ABSOLUTELY,0,0,0,0,0,0,0,0
267,ABSOLUTENESS,0,0,0,0,0,0,0,0
268,ABSOLUTENESSES,0,0,0,0,0,0,0,0
269,ABSOLUTES,0,0,0,0,0,0,0,0
270,ABSOLUTEST,0,0,0,0,0,0,0,0
271,ABSOLUTION,0,0,0,0,0,0,0,0
272,ABSOLUTIONS,0,0,0,0,0,0,0,0
273,ABSOLUTISM,0,0,0,0,0,0,0,0
274,ABSOLUTISMS,0,0,0,0,0,0,0,0
275,ABSOLUTIST,0,0,0,0,0,0,0,0
276,ABSOLUTISTS,0,0,0,0,0,0,0,0
277,ABSOLVE,0,0,0,1,0,0,0,0
278,ABSOLVED,0,0,0,1,0,0,0,0
279,ABSOLVES,0,0,0,1,0,0,0,0
280,ABSOLVING,0,0,0,1,0,0,0,0
281,ABSORB,0,0,0,0,0,0,0,0
282,ABSORBABLE,0,0,0,0,0,0,0,0
283,ABSORBED,0,0,0,0,0,0,0,0
284,ABSORBENCIES,0,0,0,0,0,0,0,0
285,ABSORBENCY,0,0,0,0,0,0,0,0
286,ABSORBENT,0,0,0,0,0,0,0,0
287,ABSORBENTS,0,0,0,0,0,0,0,0
288,ABSORBERS,0,0,0,0,0,0,0,0
289,ABSORBING,0,0,0,0,0,0,0,0
290,ABSORBINGLY,0,0,0,0,0,0,0,0
291,ABSORBS,0,0,0,0,0,0,0,0
292,ABSORPTION,0,0,0,0,0,0,0,0
293,ABSORPTIONS,0,0,0,0,0,0,0,0
294,ABSORPTIVE,0,0,0,0,0,0,0,0
295,ABSTAIN,0,0,0,0,0,0,0,0
296,ABSTAINED,0,0,0,0,0,0,0,0
297,ABSTAINER,0,0,0,0,0,0,0,0
298,ABSTAINERS,0,0,0,0,0,0,0,0
299,ABSTAINING,0,0,0,0,0,0,0,0
300,ABSTAINS,0,0,0,0,0,0,0,0
301,ABSTEMIOUS,0,0,0,0,0,0,0,0
302,ABSTEMIOUSLY,0,0,0,0,0,0,0,0
303,ABSTEMIOUSNESS,0,0,0,0,0,0,0,0
304,ABSTEMIOUSNESSES,0,0,0,0,0,0,0,0
305,ABSTENTION,0,0,0,0,0,0,0,0
306,ABSTENTIONS,0,0,0,0,0,0,0,0
307,ABSTINENCE,0,0,0,0,0,0,0,0
308,ABSTINENCES,0,0,0,0,0,0,0,0
309,ABSTINENT,0,0,0,0,0,0,0,0
310,ABSTRACT,0,0,0,0,0,0,0,0
311,ABSTRACTED,0,0,0,0,0,0,0,0
312,ABSTRACTEDLY,0,0,0,0,0,0,0,0
313,ABSTRACTEDNESS,0,0,0,0,0,0,0,0
314,ABSTRACTEDNESSES,0,0,0,0,0,0,0,0
315,ABSTRACTING,0,0,0,0,0,0,0,0
316,ABSTRACTION,0,0,0,0,0,0,0,0
317,ABSTRACTIONS,0,0,0,0,0,0,0,0
318,ABSTRACTLY,0,0,0,0,0,0,0,0
319,ABSTRACTNESS,0,0,0,0,0,0,0,0
320,ABSTRACTNESSES,0,0,0,0,0,0,0,0
321,ABSTRACTS,0,0,0,0,0,0,0,0
322,ABSTRUSE,0,0,0,0,0,0,0,0
323,ABSTRUSELY,0,0,0,0,0,0,0,0
324,ABSTRUSENESS,0,0,0,0,0,0,0,0
325,ABSTRUSENESSES,0,0,0,0,0,0,0,0
326,ABSURD,0,0,0,0,0,0,0,0
327,ABSURDER,0,0,0,0,0,0,0,0
328,ABSURDEST,0,0,0,0,0,0,0,0
329,ABSURDITIES,0,0,0,0,0,0,0,0
330,ABSURDITY,0,0,0,0,0,0,0,0
331,ABSURDLY,0,0,0,0,0,0,0,0
332,ABSURDNESS,0,0,0,0,0,0,0,0
333,ABSURDNESSES,0,0,0,0,0,0,0,0
334,ABUNDANCE,0,1,0,0,0,0,0,0
335,ABUNDANCES,0,0,0,0,0,0,0,0
336,ABUNDANT,0,1,0,0,0,0,0,0
337,ABUNDANTLY,0,0,0,0,0,0,0,0
338,ABUSE,1,0,0,0,0,0,0,0
339,ABUSED,1,0,0,0,0,0,0,0
340,ABUSER,0,0,0,0,0,0,0,0
341,ABUSERS,0,0,0,0,0,0,0,0
342,ABUSES,1,0,0,0,0,0,0,0
343,ABUSING,1,0,0,0,0,0,0,0
344,ABUSIVE,1,0,0,0,0,0,0,0
345,ABUSIVELY,1,0,0,0,0,0,0,0
346,ABUSIVENESS,1,0,0,0,0,0,0,0
347,ABUSIVENESSES,0,0,0,0,0,0,0,0
348,ABUT,0,0,0,0,0,0,0,0
349,ABUTMENT,0,0,0,0,0,0,0,0
350,ABUTMENTS,0,0,0,0,0,0,0,0
351,ABUTS,0,0,0,0,0,0,0,0
352,ABUTTED,0,0,0,0,0,0,0,0
353,ABUTTING,0,0,0,0,0,0,0,0
354,ABUZZ,0,0,0,0,0,0,0,0
355,ABYSMAL,0,0,0,0,0,0,0,0
356,ABYSMALLY,0,0,0,0,0,0,0,0
357,ABYSS,0,0,0,0,0,0,0,0
358,ABYSSAL,0,0,0,0,0,0,0,0
359,ABYSSES,0,0,0,0,0,0,0,0
360,ACACIA,0,0,0,0,0,0,0,0
361,ACACIAS,0,0,0,0,0,0,0,0
362,ACADEME,0,0,0,0,0,0,0,0
363,ACADEMES,0,0,0,0,0,0,0,0
364,ACADEMIA,0,0,0,0,0,0,0,0
365,ACADEMIAS,0,0,0,0,0,0,0,0
366,ACADEMIC,0,0,0,0,0,0,0,0
367,ACADEMICALLY,0,0,0,0,0,0,0,0
368,ACADEMICIAN,0,0,0,0,0,0,0,0
369,ACADEMICIANS,0,0,0,0,0,0,0,0
370,ACADEMICS,0,0,0,0,0,0,0,0
371,ACADEMIES,0,0,0,0,0,0,0,0
372,ACADEMY,0,0,0,0,0,0,0,0
373,ACANTHI,0,0,0,0,0,0,0,0
374,ACANTHUS,0,0,0,0,0,0,0,0
375,ACANTHUSES,0,0,0,0,0,0,0,0
376,ACCEDE,0,0,0,0,0,0,0,0
377,ACCEDED,0,0,0,0,0,0,0,0
378,ACCEDES,0,0,0,0,0,0,0,0
379,ACCEDING,0,0,0,0,0,0,0,0
380,ACCELERATE,0,0,0,0,0,0,0,0
381,ACCELERATED,0,0,0,0,0,0,0,0
382,ACCELERATES,0,0,0,0,0,0,0,0
383,ACCELERATING,0,0,0,0,0,0,0,0
384,ACCELERATION,0,0,0,0,0,0,0,0
385,ACCELERATIONS,0,0,0,0,0,0,0,0
386,ACCELERATOR,0,0,0,0,0,0,0,0
387,ACCELERATORS,0,0,0,0,0,0,0,0
388,ACCELEROMETER,0,0,0,0,0,0,0,0
389,ACCENT,0,0,0,0,0,0,0,0
390,ACCENTED,0,0,0,0,0,0,0,0
391,ACCENTING,0,0,0,0,0,0,0,0
392,ACCENTS,0,0,0,0,0,0,0,0
393,ACCENTUAL,0,0,0,0,0,0,0,0
394,ACCENTUATE,0,0,0,0,0,0,0,0
395,ACCENTUATED,0,0,0,0,0,0,0,0
396,ACCENTUATES,0,0,0,0,0,0,0,0
397,ACCENTUATING,0,0,0,0,0,0,0,0
398,ACCENTUATION,0,0,0,0,0,0,0,0
399,ACCENTUATIONS,0,0,0,0,0,0,0,0
400,ACCEPT,0,0,0,0,0,0,0,0
401,ACCEPTABILITIES,0,0,0,0,0,0,0,0
402,ACCEPTABILITY,0,0,0,0,0,0,0,0
403,ACCEPTABLE,0,0,0,0,0,0,0,0
404,ACCEPTABLENESS,0,0,0,0,0,0,0,0
405,ACCEPTABLENESSES,0,0,0,0,0,0,0,0
406,ACCEPTABLY,0,0,0,0,0,0,0,0
407,ACCEPTANCE,0,0,0,0,0,0,0,0
408,ACCEPTANCES,0,0,0,0,0,0,0,0
409,ACCEPTATION,0,0,0,0,0,0,0,0
410,ACCEPTATIONS,0,0,0,0,0,0,0,0
411,ACCEPTED,0,0,0,0,0,0,0,0
412,ACCEPTING,0,0,0,0,0,0,0,0
413,ACCEPTOR,0,0,0,0,0,0,0,0
414,ACCEPTS,0,0,0,0,0,0,0,0
415,ACCESS,0,0,0,0,0,0,0,0
416,ACCESSED,0,0,0,0,0,0,0,0
417,ACCESSES,0,0,0,0,0,0,0,0
418,ACCESSIBILITIES,0,0,0,0,0,0,0,0
419,ACCESSIBILITY,0,0,0,0,0,0,0,0
420,ACCESSIBLE,0,0,0,0,0,0,0,0
421,ACCESSIBLY,0,0,0,0,0,0,0,0
422,ACCESSING,0,0,0,0,0,0,0,0
423,ACCESSION,0,0,0,1,0,0,0,0
424,ACCESSIONS,0,0,0,1,0,0,0,0
425,ACCESSORIES,0,0,0,0,0,0,0,0
426,ACCESSORIZE,0,0,0,0,0,0,0,0
427,ACCESSORY,0,0,0,0,0,0,0,0
428,ACCESSWAYS,0,0,0,0,0,0,0,0
429,ACCIDENT,1,0,0,0,0,0,0,0
430,ACCIDENTAL,1,0,0,0,0,0,0,0
431,ACCIDENTALLY,1,0,0,0,0,0,0,0
432,ACCIDENTALS,0,0,0,0,0,0,0,0
433,ACCIDENTS,1,0,0,0,0,0,0,0
434,ACCLAIM,0,0,0,0,0,0,0,0
435,ACCLAIMED,0,1,0,0,0,0,0,0
436,ACCLAIMING,0,0,0,0,0,0,0,0
437,ACCLAIMS,0,0,0,0,0,0,0,0
438,ACCLAMATION,0,0,0,0,0,0,0,0
439,ACCLAMATIONS,0,0,0,0,0,0,0,0
440,ACCLIMATE,0,0,0,0,0,0,0,0
441,ACCLIMATED,0,0,0,0,0,0,0,0
442,ACCLIMATES,0,0,0,0,0,0,0,0
443,ACCLIMATING,0,0,0,0,0,0,0,0
444,ACCLIMATION,0,0,0,0,0,0,0,0
445,ACCLIMATIONS,0,0,0,0,0,0,0,0
446,ACCLIMATIZATION,0,0,0,0,0,0,0,0
447,ACCLIMATIZATIONS,0,0,0,0,0,0,0,0
448,ACCLIMATIZE,0,0,0,0,0,0,0,0
449,ACCLIMATIZED,0,0,0,0,0,0,0,0
450,ACCLIMATIZES,0,0,0,0,0,0,0,0
451,ACCLIMATIZING,0,0,0,0,0,0,0,0
452,ACCLIVITIES,0,0,0,0,0,0,0,0
453,ACCLIVITY,0,0,0,0,0,0,0,0
454,ACCOLADE,0,0,0,0,0,0,0,0
455,ACCOLADES,0,0,0,0,0,0,0,0
456,ACCOMMODATE,0,0,0,0,0,0,0,0
457,ACCOMMODATED,0,0,0,0,0,0,0,0
458,ACCOMMODATES,0,0,0,0,0,0,0,0
459,ACCOMMODATING,0,0,0,0,0,0,0,0
460,ACCOMMODATINGLY,0,0,0,0,0,0,0,0
461,ACCOMMODATION,0,0,0,0,0,0,0,0
462,ACCOMMODATIONS,0,0,0,0,0,0,0,0
463,ACCOMMODATIVE,0,0,0,0,0,0,0,0
464,ACCOMPANIED,0,0,0,0,0,0,0,0
465,ACCOMPANIES,0,0,0,0,0,0,0,0
466,ACCOMPANIMENT,0,0,0,0,0,0,0,0
467,ACCOMPANIMENTS,0,0,0,0,0,0,0,0
468,ACCOMPANIST,0,0,0,0,0,0,0,0
469,ACCOMPANISTS,0,0,0,0,0,0,0,0
470,ACCOMPANY,0,0,0,0,0,0,0,0
471,ACCOMPANYING,0,0,0,0,0,0,0,0
472,ACCOMPLICE,0,0,0,0,0,0,0,0
473,ACCOMPLICES,0,0,0,0,0,0,0,0
474,ACCOMPLISH,0,1,0,0,0,0,0,0
475,ACCOMPLISHED,0,1,0,0,0,0,0,0
476,ACCOMPLISHES,0,1,0,0,0,0,0,0
477,ACCOMPLISHING,0,1,0,0,0,0,0,0
478,ACCOMPLISHMENT,0,1,0,0,0,0,0,0
479,ACCOMPLISHMENTS,0,1,0,0,0,0,0,0
480,ACCORD,0,0,0,0,0,0,0,0
481,ACCORDANCE,0,0,0,0,0,0,0,0
482,ACCORDANCES,0,0,0,0,0,0,0,0
483,ACCORDANT,0,0,0,0,0,0,0,0
484,ACCORDED,0,0,0,0,0,0,0,0
485,ACCORDING,0,0,0,0,0,0,0,0
486,ACCORDINGLY,0,0,0,0,0,0,0,0
487,ACCORDION,0,0,0,0,0,0,0,0
488,ACCORDIONIST,0,0,0,0,0,0,0,0
489,ACCORDIONISTS,0,0,0,0,0,0,0,0
490,ACCORDIONS,0,0,0,0,0,0,0,0
491,ACCORDS,0,0,0,0,0,0,0,0
492,ACCOST,0,0,0,0,0,0,0,0
493,ACCOSTED,0,0,0,0,0,0,0,0
494,ACCOSTING,0,0,0,0,0,0,0,0
495,ACCOSTS,0,0,0,0,0,0,0,0
496,ACCOUNT,0,0,0,0,0,0,0,0
497,ACCOUNTABILITIES,0,0,0,0,0,0,0,0
498,ACCOUNTABILITY,0,0,0,0,0,0,0,0
499,ACCOUNTABLE,0,0,0,0,0,0,0,0
500,ACCOUNTANCIES,0,0,0,0,0,0,0,0
501,ACCOUNTANCY,0,0,0,0,0,0,0,0
502,ACCOUNTANT,0,0,0,0,0,0,0,0
503,ACCOUNTANTS,0,0,0,0,0,0,0,0
504,ACCOUNTED,0,0,0,0,0,0,0,0
505,ACCOUNTHOLDER,0,0,0,0,0,0,0,0
506,ACCOUNTHOLDERS,0,0,0,0,0,0,0,0
507,ACCOUNTING,0,0,0,0,0,0,0,0
508,ACCOUNTINGS,0,0,0,0,0,0,0,0
509,ACCOUNTS,0,0,0,0,0,0,0,0
510,ACCOUTER,0,0,0,0,0,0,0,0
511,ACCOUTERED,0,0,0,0,0,0,0,0
512,ACCOUTERING,0,0,0,0,0,0,0,0
513,ACCOUTERMENTS,0,0,0,0,0,0,0,0
514,ACCOUTERS,0,0,0,0,0,0,0,0
515,ACCOUTRE,0,0,0,0,0,0,0,0
516,ACCOUTRED,0,0,0,0,0,0,0,0
517,ACCOUTREMENTS,0,0,0,0,0,0,0,0
518,ACCOUTRES,0,0,0,0,0,0,0,0
519,ACCOUTRING,0,0,0,0,0,0,0,0
520,ACCREDIT,0,0,0,0,0,0,0,0
521,ACCREDITATION,0,0,0,0,0,0,0,0
522,ACCREDITATIONS,0,0,0,0,0,0,0,0
523,ACCREDITED,0,0,0,0,0,0,0,0
524,ACCREDITING,0,0,0,0,0,0,0,0
525,ACCREDITOR,0,0,0,0,0,0,0,0
526,ACCREDITORS,0,0,0,0,0,0,0,0
527,ACCREDITS,0,0,0,0,0,0,0,0
